timestamp,title,score
1409427650.0,Top Bitcoin Proponent to Plead Guilty to Federal Charge,-0.25
1394828417.0,Start-Up Seeks to Capitalize on Security Concerns for Bitcoins,0.34
1431007284.0,Bitcoin Exchange Receives First License in New York State,0.0
1371077562.0,Today’s Scuttlebot: Bitcoin Sell-Off and an Apple Star,0.0
1505445249.0,"North Korea, Bitcoin, Malaysia: Your Friday Briefing",0.0
1513955565.0,Bitcoin Plummets More Than 30 Percent in Less Than a Day,0.0
1365792916.0,Week in Review: From Banes of Zuckerberg to Bitcoin Moguls,0.0
1430362878.0,Goldman and IDG Put $50 Million to Work in a Bitcoin Company ,0.0
1372760740.0,Daily Report: A Plan to Bring Bitcoins Closer to Everyday Investors,0.0
1396298949.0,Makers of Bitcoin A.T.M.’s See a Not-Quite-Cashless Future,0.0
1386607388.0,"For Bitcoin, Square Peg Meets Round Hole Under the Law",0.0
1385574301.0,Researchers Retract Report That Linked Bitcoin Creator and Silk Road,0.0
1395838871.0,Start-Up Unveils Bitcoin Payments Product,0.0
1514487617.0,"Kabul, Roy Moore, Bitcoin: Your Friday Briefing",0.0
1393329394.0,Daily Report: Bitcoin World Is Shaken by Apparent Theft at Exchange,-0.0772
1418138696.0,"At an Auction of Bitcoins Seized From Silk Road, SecondMarket Wins Big",0.5719
1420238067.0,Bitcoin Foundation Parts Ways With Its Global Policy Counsel,0.0
1414689414.0,"Bitcoin Foundation’s Executive Director, Jon Matonis, Resigns",-0.3182
1515171290.0,Should You Buy Bitcoin? Ask a Different Question First,0.0
1395316207.0,Daily Report: Entrepreneurs in Hong Kong Place Their Bets on Bitcoin,0.0
1394194075.0,Daily Report: Mystery Swirls Around Unmasking of Bitcoin Inventor,0.0
1386794495.0,Bitcoin Fever: Using Digital Currency to Understand the Nature of Money,0.0
1393416167.0,"Daily Report: As Mt. Gox Falls, Bitcoin Looks to the Future",0.0
1394194075.0,Daily Report: Mystery Swirls Around Unmasking of Bitcoin Inventor,0.0
1513641980.0,The Bitcoin Boom: In Code We Trust,0.5106
1428620942.0,"SendGrid Account Breach Was Used to Attack Coinbase, a Bitcoin Exchange",-0.4767
1387439623.0,Chinese Bitcoin Investors Fret as Value of Virtual Currency Plunges,0.34
1538052032.0,A Bitcoin Miner Tests Investor Appetite: What to Watch Today,0.0
1403814610.0,U.S. Prepares for Sale of Bitcoins Seized in Its Raid on Silk Road,0.0
1408474172.0,Overstock to Allow International Customers to Pay in Bitcoin,0.128
1435840934.0,Nathaniel Popper’s ‘Digital Gold’ Looks at Bitcoin,0.0
1385111794.0,Bitcoin Gets a Cautious Nod From China’s Central Bank,-0.1027
1459911686.0,Bitcoin Start-Up Gets an Electronic Money License in Britain,0.0
